Pomiar dodawnia do tablicy; Od poczatku; Od konca; w losowym miejscu; ;Pomiar dodawnia do listy jednokierunkowej; Od poczatku; Od konca; w losowym miejscu ; ;Pomiar dodawnia do listy dwukierunkowej; Od poczatku; Od konca; w losowym miejscu;
Pomiar 1 :;0 ;0 ;0; ;Pomiar 1 :;0 ;0 ;0; ;Pomiar 1 :;0 ;0 ;0 ;
Pomiar 2 :;0 ;0 ;0; ;Pomiar 2 :;0 ;0 ;0; ;Pomiar 2 :;0 ;0 ;0 ;
Pomiar 3 :;0 ;0 ;0; ;Pomiar 3 :;0 ;0 ;0; ;Pomiar 3 :;0 ;0 ;0 ;
Pomiar 4 :;0 ;0 ;0; ;Pomiar 4 :;0 ;0 ;0; ;Pomiar 4 :;0 ;0 ;0 ;
Pomiar 5 :;0 ;0 ;0; ;Pomiar 5 :;0 ;0 ;0; ;Pomiar 5 :;0 ;0 ;0 ;
Pomiar 6 :;0 ;0 ;0; ;Pomiar 6 :;0 ;0 ;0; ;Pomiar 6 :;0 ;0 ;0 ;
Pomiar 7 :;0 ;0 ;0; ;Pomiar 7 :;0 ;0 ;0; ;Pomiar 7 :;0 ;0 ;0 ;
Pomiar 8 :;0 ;0 ;0; ;Pomiar 8 :;0 ;0 ;0; ;Pomiar 8 :;0 ;0 ;0 ;
Pomiar 9 :;0 ;0 ;0; ;Pomiar 9 :;0 ;0 ;0; ;Pomiar 9 :;0 ;0 ;0 ;
Pomiar 10 :;0 ;0 ;0; ;Pomiar 10 :;0 ;0 ;0; ;Pomiar 10 :;0 ;0 ;0 ;

 Pomiar szukania; Tablica;Lista Jednokierunowa; Lista Dwukierunkowa;
Pomiar 1 :;0 ;0 ;0 ;
Pomiar 2 :;0 ;0 ;0 ;
Pomiar 3 :;0 ;0 ;0 ;
Pomiar 4 :;0 ;0 ;0 ;
Pomiar 5 :;0 ;0 ;0 ;
Pomiar 6 :;0 ;0 ;0 ;
Pomiar 7 :;0 ;0 ;0 ;
Pomiar 8 :;0 ;0 ;0 ;
Pomiar 9 :;0 ;0 ;0 ;
Pomiar 10 :;0 ;0 ;0 ;

 Pomiar usuwanie z tablicy; Od poczatku; Od konca; w losowym miejscu; ;Pomiar usuwania z listy jednokierunkowej; Od poczatku; Od konca; w losowym miejscu ; ;Pomiar usuwania z listy dwukierunkowej; Od poczatku; Od konca; w losowym miejscu;
Pomiar 1 :;0 ;0 ;0; ;Pomiar 1 :;0 ;0 ;0; ;Pomiar 1 :;0 ;0 ;0 ;
Pomiar 2 :;0 ;0 ;0; ;Pomiar 2 :;0 ;0 ;0; ;Pomiar 2 :;0 ;0 ;0 ;
Pomiar 3 :;0 ;0 ;0; ;Pomiar 3 :;0 ;0 ;0; ;Pomiar 3 :;0 ;0 ;0 ;
Pomiar 4 :;0 ;0 ;0; ;Pomiar 4 :;0 ;0 ;0; ;Pomiar 4 :;0 ;0 ;0 ;
Pomiar 5 :;0 ;0 ;0; ;Pomiar 5 :;0 ;0 ;0; ;Pomiar 5 :;0 ;0 ;0 ;
Pomiar 6 :;0 ;0 ;0; ;Pomiar 6 :;0 ;0 ;0; ;Pomiar 6 :;0 ;0 ;0 ;
Pomiar 7 :;0 ;0 ;0; ;Pomiar 7 :;0 ;0 ;0; ;Pomiar 7 :;0 ;0 ;0 ;
Pomiar 8 :;0 ;0 ;0; ;Pomiar 8 :;0 ;0 ;0; ;Pomiar 8 :;0 ;0 ;0 ;
Pomiar 9 :;0 ;0 ;0; ;Pomiar 9 :;0 ;0 ;0; ;Pomiar 9 :;0 ;0 ;0 ;
Pomiar 10 :;0 ;0 ;0; ;Pomiar 10 :;0 ;0 ;0; ;Pomiar 10 :;0 ;0 ;0 ;
